,cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat,distance_to_center,cluster
11,0.999477958,0.989320554,0.65413855,0.705176765,0.0,0.350524732,0.877973508,-0.030983776,0.605392647,-0.054115822,2.545377492904663,1
23,1.0,0.991130365,0.010645688,0.01487134,0.0,0.844023417,0.99995922,-0.032508615,2.173316021,-0.054363624,1.9983887672424316,1
32,0.973533491,0.889182309,0.11466078,-0.088693152,0.511112252,0.99949284,0.225327869,-0.031200949,0.051894813,-0.054090418,1.7066504955291748,2
47,0.999626854,0.599005917,-0.263442725,-0.419831723,0.0,0.93664637,0.648508066,-0.032515671,-0.166958988,-0.053988065,1.722293496131897,1
138,0.999162533,0.999992787,0.743275462,0.750926809,0.0,-0.459237917,0.880631426,-0.030942629,1.58372647,-0.054258001,1.8676023483276367,2
182,0.99857981,0.780146823,0.210004509,0.157804423,0.0,0.063592595,0.734631121,-0.032434258,1.205614398,-0.054296962,2.576692819595337,1
205,0.998997444,0.804183228,0.761320851,0.58889392,0.0,0.37179763,0.440720334,-0.031565763,-0.437156001,-0.053573527,2.1632609367370605,1
223,0.976836886,1.0,-0.087542471,-0.238616493,0.0,0.256899169,0.585085654,-0.033328677,-0.471111835,-0.053850621,2.254910945892334,0
228,0.992077382,0.869428572,0.524455254,0.342542343,0.0,0.823586434,0.51838343,-0.033125526,-0.424169052,-0.053889019,2.1933467388153076,0
273,0.999662851,0.346407068,0.619942862,0.29732259,0.0,-0.068030097,0.565311283,-0.032565454,0.031320759,-0.05408761,2.165341854095459,1
276,0.999271476,0.969623393,0.782114517,0.812174433,-0.032907055,0.158717796,0.604858784,-0.03184932,0.583599338,-0.054181699,2.311380386352539,1
289,0.983340671,0.986197543,0.008416129,0.016931887,0.0,0.607791325,0.703043427,-0.031828846,-0.253584727,-0.053725243,1.982056736946106,0
292,0.99997404,0.994909477,0.615740521,0.612975812,0.0,-0.095598109,0.055525391,-0.032150129,-1.056888038,-0.001766003,1.8445404767990112,2
297,0.999999554,0.999899035,0.365855658,0.36645774,0.0,0.988899501,-0.371052301,-0.032690497,-1.050194562,-0.02742193,2.604924440383911,1
323,0.990399093,0.782301816,-0.10931265,-0.149521834,-0.334330877,0.456011761,0.839953185,-0.033148059,0.671455569,-0.054284987,1.6912517547607422,2
333,0.986406189,0.526700717,0.679448954,0.093505131,-0.124261828,0.789928904,0.737496579,-0.03148522,-0.633219211,-0.053127986,2.084996461868286,0
342,0.644253246,0.899577308,0.550838682,0.105069209,0.0,0.697721244,-0.033458065,-0.031521853,-1.041401759,-0.025156085,1.711829423904419,0
344,0.999787863,0.631922704,0.462313392,0.331383242,-0.055448144,0.277220359,0.934221781,-0.031986442,0.85688698,-0.054233106,1.8380740880966187,1
358,0.974355171,0.874642405,0.965938845,0.741912309,0.0,-0.04322013,0.733246606,-0.026960059,0.130537061,-0.053362321,1.6895751953125,2
371,0.784137109,0.605739262,0.617509716,0.759004166,0.0,0.167165236,0.989076749,-0.032889903,1.969028894,-0.05435381,2.2514758110046387,1
381,0.982143497,0.985327835,0.754497228,0.741973347,0.0,0.754179692,0.633892764,-0.031220625,0.588900504,-0.054126848,1.8488798141479492,0
439,0.999951342,0.996445685,-0.43991981,-0.436383102,0.0,0.506392869,0.489914671,-0.032829746,-0.029340185,-0.054096173,1.8786139488220215,2
450,0.999999845,0.537592692,0.14481035,-0.052119691,0.0,0.87765719,0.451394812,-0.032645607,-0.590968071,-0.053568948,1.895193338394165,1
520,0.974868622,0.997786371,-0.215511226,-0.111717165,0.0,0.871360297,0.998894357,-0.033082006,1.968234346,-0.05433956,1.8001922369003296,2
526,0.993810412,0.997353977,0.587426927,0.609684288,0.0,-0.248848311,0.999043099,-0.032536372,2.127981824,-0.054360879,1.762729287147522,2
553,0.999806288,0.995022563,0.026373888,0.030004127,0.0,0.664514168,0.426566366,-0.033005038,-0.97172486,-0.050225807,1.8675453662872314,2
555,0.998832102,0.991393136,-0.131751384,-0.1536472,0.0,0.704841654,0.073683877,-0.033019778,-0.904532531,-0.052021696,1.8065420389175415,2
567,1.0,0.955197789,-0.003636218,-0.070353333,0.0,0.894405731,0.34959613,-0.03203391,-1.035675671,-0.037657456,1.7376035451889038,2
570,1.0,0.90416277,0.570724625,0.384893995,0.0,0.640547849,0.729826749,-0.031413888,-0.412459568,-0.053600323,1.9119418859481812,0
596,0.999999117,-0.172988788,0.015098668,0.15738024,0.0,0.799439421,-0.009977349,-0.032256936,-0.735413177,-0.053017822,2.5091300010681152,2
630,0.999996542,0.985308164,-0.071949916,-0.057528835,0.0,0.985496851,-0.147887726,-0.032735415,-0.891313769,-0.052022117,1.8939059972763062,2
651,0.996846926,0.98191302,0.0,0.0,0.0,-0.19221949,0.995817742,-0.031788552,1.929498227,-0.0543823,1.6794919967651367,1
669,0.965919136,0.843966124,-0.161757847,-0.347928872,0.0,0.394146395,0.596610301,-0.032156756,0.947573604,-0.054252535,1.8361701965332031,1
675,0.999799312,0.978896363,-0.076043885,-0.001275444,-0.025363051,0.771303779,0.999179702,-0.033106672,2.095560084,-0.054382903,1.7601152658462524,2
699,0.990775959,0.886172321,0.045367848,-0.330793596,0.0,0.874734297,0.659373846,-0.031834166,-0.941025744,-0.050031917,1.9440932273864746,1
721,0.993608848,0.972614257,0.208385953,0.080786177,0.0,0.67585338,0.349056651,-0.032139672,-0.506158201,-0.053614686,2.117502450942993,0
738,0.999997219,0.995838543,0.865572599,0.864662572,0.0,0.619547243,0.448806635,-0.027776688,0.271060066,-0.053738887,1.6961926221847534,0
768,0.904034466,0.885064216,0.005992013,-0.259307182,0.0,0.780331488,-0.029634468,-0.033017229,-0.979551556,-0.049273403,1.8686105012893677,0
793,0.999999999,1.0,0.368262427,0.368266307,0.0,0.066478044,0.978795011,-0.033678278,-0.123698016,-0.054164088,2.6541237831115723,0
801,0.999993765,0.996962976,0.130212608,0.092863113,0.0,0.781347059,0.75162754,-0.03279454,0.744505343,-0.054269085,1.7025803327560425,1
831,0.925524018,0.921147321,0.264830379,0.286762202,0.0,0.822861901,0.970974694,-0.032482605,1.784004213,-0.054313663,2.0212221145629883,2
858,0.998500157,0.998716849,0.434256534,0.405424473,0.0,0.893309646,0.486707737,-0.032753872,-0.787053203,-0.052918209,1.812004804611206,1
874,0.996588531,0.99989205,0.90233272,0.880036218,0.0,0.871109242,-0.52004809,-0.031821239,-1.064661697,0.270301799,2.1528239250183105,2
879,1.0,1.0,-0.253033842,-0.25303096,0.0,0.293463636,0.529238103,-0.033161336,-0.150017273,-0.054087027,1.9095690250396729,2
923,0.999999517,0.995743472,-0.212746621,-0.177515607,0.0,0.85108091,0.205003266,-0.032725061,-0.914559958,-0.051634314,2.1429994106292725,1
947,0.999950518,0.999488927,-0.231996243,-0.2307949,0.0,0.957332036,-0.059711774,-0.03294972,-0.917019541,-0.051770201,2.4490182399749756,1
955,0.999965476,0.999995346,0.732910894,0.732179257,0.0,0.742742536,0.185667738,-0.032637029,-0.777298958,-0.05295771,2.2363979816436768,2
959,0.99981797,0.998222677,0.277055555,0.292672697,0.0,0.411237835,0.423865713,-0.032217469,-1.038824769,-0.036498411,1.764351487159729,1
962,0.988854336,0.998013298,0.911472612,0.879160211,0.232445556,0.489002723,0.906852756,-0.031463554,-0.528633091,-0.053298687,2.0133910179138184,2
983,0.965453576,0.812138346,0.376566847,-0.081566824,0.0,0.363440943,0.678485222,-0.031119564,-0.91988223,-0.049977248,2.169551372528076,0
994,1.0,0.999167692,0.050391712,0.040221023,0.0,0.935793051,0.304902677,-0.032585359,-0.76631863,-0.052997515,2.0295560359954834,0
1029,1.0,0.877846604,-0.071372152,-0.086612852,0.0,0.888461441,-0.122453639,-0.032132577,-1.063701988,0.129791217,2.169923782348633,1
1030,0.999964067,0.935004964,0.300601864,0.233387458,0.0,0.428687221,0.123702335,-0.031919453,-0.998866013,-0.046627624,3.059384346008301,1
1041,0.99154893,0.999972668,0.157794546,0.110062187,0.0,0.965252938,0.440698894,-0.032916028,-0.61925636,-0.053536708,1.9434071779251099,1
1068,0.99999999,0.991863026,0.651303911,0.606479534,0.0,0.729972282,0.606859445,-0.032234891,-0.825647858,-0.052452342,2.1041839122772217,0
1105,0.999942268,0.63602772,0.557108753,0.347995269,0.0,0.05861959,0.542962323,-0.032528918,-1.015968776,-0.045418151,1.6863349676132202,2
1140,0.999999542,0.933786868,0.599920074,0.451191482,0.0,0.571396545,0.316684054,-0.029343699,-0.917482508,-0.048872308,1.9863381385803223,1
1159,0.976233871,0.999999861,0.722587993,0.821278457,0.0,0.240721443,0.532989928,-0.033529582,-1.020012769,-0.04547474,1.7522542476654053,2
1170,0.99999069,0.99676919,-0.037323338,0.027321083,0.0,0.280773638,0.971191992,-0.033767873,0.435342954,-0.054298314,1.8950904607772827,2
1180,0.999999998,1.0,-0.016676424,-0.016673958,0.0,0.10786291,0.779655619,-0.034935042,0.480110375,-0.05439452,2.2521681785583496,2
